c0;COVER;PRECIO (CUP);CANTIDAD
c1;Redmi A1;1600;15
c2;Redmi 8/8A;1300;0
c3;Redmi Note 8 Pro;1300;86
c4;Redmi 9;1300;12
c5;Redmi 9A;1600;102
c6;Redmi Note 9 4G /  9 Power  /  Poco M3/ 9T;1300;11
c7;Redmi Note 9 5G/9T;1600;3
c8;Redmi Note 9S/Note 9 Pro;1600;12
c9;Redmi Poco M3/Redmi 9 Power;1600;12
c10;Redmi 10A;1600;15
c11;Redmi 10C;1600;8
c12;Redmi Note 10 4G/Note 10S;1600;11
c13;Redmi Note 10 5G;1600;8
c14;Redmi Note 10 Pro 5G;1600;3
c15;Redmi MI10/Note 11 4G;1600;11
c16;Samsumg A01;1600;3
c17;Samsumg A02/M20;1300;4
c18;Samsung A03;1600;16
c19;Samsung A03 Core;1600;17
c20;Samsung A03S;1600;12
c21;Samsung A04S;1600;23
c22;Samsumg A04E/F04;1600;0
c23;Samsumg A10E;1300;8
c24;Samsumg A13;1600;2
c25;Samsumg A22;1300;14
c26;Samsumg A23 4G;1600;5
c27;Samsumg A30s;1300;20
c28;Samsumg A53;1300;12
c29;Samsumg A71 4G;1600;10
c30;Samsumg J2 Prime;1300;4
c31;Samsumg J2 Core;1300;2
c32;Samsumg J3 2018;1300;11
c33;Samsung J7 2018;1300;12
c34;Samsumg S20 FE;1600;10
c35;Moto E5 Play;1300;17
c36;Moto E6 Plus;1300;11
c37;Moto G Stylus 2023 5G;1600;11
c38;Moto G Stylus;1300;3
c39;Spark 10C;1600;4
c40;LG Aristo 5;1300;3
c41;Samsung Note 20 Ultra;1300;1
c42;Samsung A51;1300;1
c43;Xiaomi MI 11;1300;3
c44;Samsung S22;1300;7
c45;Samsung A20S;1300;3
c46;Motorola Moto G10 / G30;1300;2
c47;Xiaomi Redmi Note 10 Pro;1300;6
c48;Iphone 13 Pro Max;1600;13
c49;Samsung Note 20;1300;1
c50;Samsung A21S;1300;1
c51;Huawei Honor X8;1300;3
c52;Xiaomi MI 11 Lite;1300;1
c53;Iphone 13 Pro;1600;5
c54;Huawei P20 Lite;1300;2
c55;Xiaomi Redmi Note 10 4G / Note 10S;1600;14
c56;Samsung S7 Edge;1300;4
c57;Iphone 7+ / 8+;1600;7
c58;Samsung A03;1300;11
c59;Xiaomi Redmi Note 11S;1300;2
c60;Iphone X / XS;1300;3
c61;Xiaomi Note 10 5G / Poco M3 Pro;1600;4
c62;Samsung S21;1300;2
c63;Iphone 11 Pro Max;1600;5
c64;Iphone XS Max;1600;1
c65;Iphone 14+;1600;6
c66;Iphone 12 Pro;1600;8
c67;Iphone 14 Pro;1600;6
c68;Iphone 11 Pro;1600;4
c69;Iphone 7+ / 8+;1600;7
c70;Iphone 11;1600;1
c71;Iphone 14;1600;4
c72;Iphone 12 Pro Max;1600;9
c73;Iphone 7 / 8;1600;2
c74;Huawei Y7A;1300;3
c75;Huawei P40 Lite;1300;1
c76;Samsung S21 Ultra;1600;2
c77;Samsung S22+;1600;4
c78;Samsung S21 FE;1600;3
c79;Samsung A22 5G;1300;2
c80;Samsung S8;1300;3
c81;Samsung S8+;1300;3
c82;Samsung A21;1300;2
c83;Samsung S9;1300;1
c84;Samsung S9+;1300;4
c85;Samsung A20 / A30;1300;3
c86;Samsung S20;1600;6
c87;Samsung A10E;1300;8
c88;Samsung A02;1300;4
c89;Xiaomi Redmi Note 11S;1300;2
c90;Xiaomi Poco X3;1300;1
c91;Tecno Spark GO 2022;1600;3
